case_id,case_name,particle_diameter,particle_radius,N_target,target_fractal_dimension,r_sigma_mult,realization,random_seed,max_try,csv_file,sys_file,vtk_file
47,case_047_dp1.5_N200_Df1.8_rep02,1.5,0.75,200,1.8,12.0,2,1075,200,case_047_dp1.5_N200_Df1.8_rep02/particles.csv,case_047_dp1.5_N200_Df1.8_rep02/particles.sys,case_047_dp1.5_N200_Df1.8_rep02/particles.vtk
48,case_048_dp1.5_N200_Df1.8_rep03,1.5,0.75,200,1.8,12.0,3,1076,200,case_048_dp1.5_N200_Df1.8_rep03/particles.csv,case_048_dp1.5_N200_Df1.8_rep03/particles.sys,case_048_dp1.5_N200_Df1.8_rep03/particles.vtk
49,case_049_dp1.5_N200_Df2.2_rep01,1.5,0.75,200,2.2,8.0,1,1077,200,case_049_dp1.5_N200_Df2.2_rep01/particles.csv,case_049_dp1.5_N200_Df2.2_rep01/particles.sys,case_049_dp1.5_N200_Df2.2_rep01/particles.vtk
50,case_050_dp1.5_N200_Df2.2_rep02,1.5,0.75,200,2.2,8.0,2,1078,200,case_050_dp1.5_N200_Df2.2_rep02/particles.csv,case_050_dp1.5_N200_Df2.2_rep02/particles.sys,case_050_dp1.5_N200_Df2.2_rep02/particles.vtk
51,case_051_dp1.5_N200_Df2.2_rep03,1.5,0.75,200,2.2,8.0,3,1079,200,case_051_dp1.5_N200_Df2.2_rep03/particles.csv,case_051_dp1.5_N200_Df2.2_rep03/particles.sys,case_051_dp1.5_N200_Df2.2_rep03/particles.vtk
52,case_052_dp1.5_N200_Df2.6_rep01,1.5,0.75,200,2.6,5.0,1,1080,200,case_052_dp1.5_N200_Df2.6_rep01/particles.csv,case_052_dp1.5_N200_Df2.6_rep01/particles.sys,case_052_dp1.5_N200_Df2.6_rep01/particles.vtk
53,case_053_dp1.5_N200_Df2.6_rep02,1.5,0.75,200,2.6,5.0,2,1081,200,case_053_dp1.5_N200_Df2.6_rep02/particles.csv,case_053_dp1.5_N200_Df2.6_rep02/particles.sys,case_053_dp1.5_N200_Df2.6_rep02/particles.vtk
54,case_054_dp1.5_N200_Df2.6_rep03,1.5,0.75,200,2.6,5.0,3,1082,200,case_054_dp1.5_N200_Df2.6_rep03/particles.csv,case_054_dp1.5_N200_Df2.6_rep03/particles.sys,case_054_dp1.5_N200_Df2.6_rep03/particles.vtk
55,case_055_dp2_N50_Df1.8_rep01,2.0,1.0,50,1.8,12.0,1,1083,200,case_055_dp2_N50_Df1.8_rep01/particles.csv,case_055_dp2_N50_Df1.8_rep01/particles.sys,case_055_dp2_N50_Df1.8_rep01/particles.vtk
56,case_056_dp2_N50_Df1.8_rep02,2.0,1.0,50,1.8,12.0,2,1084,200,case_056_dp2_N50_Df1.8_rep02/particles.csv,case_056_dp2_N50_Df1.8_rep02/particles.sys,case_056_dp2_N50_Df1.8_rep02/particles.vtk
