case,n,group,target,box_dimension,hull_porosity,box_quality,box_grid_sd,rg_over_d,log_rg,contacts,asphericity,lambda2_over_lambda1,lambda3_over_lambda1,leaf_fraction,branch_fraction,degree_std,mean_graph_distance,neighbors_1p5d,neighbors_2d,local_density_cv,core_shell_density_difference
fractal_dp2_N0100_Df1.8_kf1.3_rep03,100,fractal_dp2_N0100_Df1.8_kf1.3_rep03,0.6793017578125,1.7927417294699597,0.9235649570120251,ok,0.04011883168635066,5.568398938891263,1.7171075689732567,99,0.37636980286048516,0.2890986190646326,0.07642549391326549,0.34,0.27,0.871550342780037,14.130707070707071,3.2,6.42,0.29732424081464937,0.8190476190476188
fractal_dp2_N0100_Df1.8_kf1.3_rep04,100,fractal_dp2_N0100_Df1.8_kf1.3_rep04,0.6653759765625,1.8314022526524345,0.9095031243303877,ok,0.08526459035245332,5.5684070163864785,1.7171090195678433,99,0.5338867318190206,0.15204421282114092,0.06914898196127395,0.3,0.26,0.7871467461661771,16.63737373737374,3.16,6.6,0.30378693417823366,1.9706959706959708
fractal_dp2_N0100_Df1.8_kf1.3_rep05,100,fractal_dp2_N0100_Df1.8_kf1.3_rep05,0.65400390625,1.8069301301991254,0.9032403423027208,ok,0.03475096262176426,5.568413520563464,1.717110187617012,99,0.5583556774581577,0.14987312766702215,0.055752658291035775,0.3,0.25,0.7997499609252883,15.658181818181818,3.62,7.12,0.34188982205226054,2.3598484848484844
fractal_dp2_N0100_Df2.2_kf1.1_rep01,100,fractal_dp2_N0100_Df2.2_kf1.1_rep01,0.5954296875,1.9872929597019997,0.8585428018047891,ok,0.055656325637020956,3.864350149370847,1.3517935306118718,99,0.212203288530753,0.33057774981111804,0.23573844824005796,0.37,0.29,0.9271461589199407,11.345050505050505,3.84,8.14,0.3904315291730491,3.7435064935064943
fractal_dp2_N0100_Df2.2_kf1.1_rep02,100,fractal_dp2_N0100_Df2.2_kf1.1_rep02,0.59697265625,2.005822236087013,0.8579724319405746,scale_span_below_half_decade,0.08444845704579937,3.864354239655427,1.351794589077657,99,0.18489382150700961,0.37381448069664197,0.2482693148011867,0.39,0.28,0.9693296652842106,12.081414141414141,3.48,7.82,0.40047427093646426,3.4333333333333336
fractal_dp2_N0100_Df2.2_kf1.1_rep03,100,fractal_dp2_N0100_Df2.2_kf1.1_rep03,0.5780078125,2.00552337751947,0.8391247583550367,ok,0.07275508788618125,3.86433156761701,1.3517887220935454,99,0.3779596887641862,0.19210853846670492,0.15403280480839837,0.37,0.27,0.9378699270154683,11.600808080808081,3.92,8.54,0.3700752935505453,3.8609022556390977
fractal_dp2_N0100_Df2.2_kf1.1_rep04,100,fractal_dp2_N0100_Df2.2_kf1.1_rep04,0.5891552734375,2.0438386171524883,0.8371124039351057,ok,0.06685893779338657,3.8643395992232588,1.3517908004860855,99,0.26979779463071196,0.350256037953111,0.1420307735007292,0.34,0.29,0.8482924024179397,14.548282828282828,3.74,8.5,0.3722186357542676,3.3015873015873014
fractal_dp2_N0100_Df2.2_kf1.1_rep05,100,fractal_dp2_N0100_Df2.2_kf1.1_rep05,0.585654296875,1.9847725714696682,0.853008725753442,scale_span_below_half_decade,0.05473084219923842,3.864326399630352,1.3517873847367419,99,0.1670027838170618,0.4061059137923644,0.25809168748592454,0.33,0.25,0.8715503427800371,12.458787878787879,4.08,7.94,0.33170083314560717,0.5866261398176293
fractal_dp2_N0100_Df2.6_kf0.8_rep01,100,fractal_dp2_N0100_Df2.6_kf0.8_rep01,0.5262109375,2.1385777484126143,0.7858802470589362,scale_span_below_half_decade,0.08385319622947066,3.178893326372657,1.1565331256477163,99,0.12145556870867347,0.5319141861867688,0.2812331283119905,0.43,0.29,1.0675204916066012,12.447878787878787,4.58,10.54,0.34166664873668845,5.395833333333332
fractal_dp2_N0100_Df2.6_kf0.8_rep02,100,fractal_dp2_N0100_Df2.6_kf0.8_rep02,0.5219775390625,2.0826572988770358,0.791660587284308,scale_span_below_half_decade,0.07347888166460824,3.1788977439569415,1.1565345153078155,99,0.11868134054898749,0.6094435443907625,0.25762436074386813,0.43,0.27,1.0952625256074453,12.143030303030303,4.98,10.72,0.36298702314382747,7.692671394799055
