a,b,n,matching_distance,delta_exposure,abs_delta_exposure,both_box_quality_ok,delta_box_dimension,delta_hull_porosity,delta_log_rg,delta_asphericity,delta_lambda2_over_lambda1,delta_lambda3_over_lambda1,delta_leaf_fraction,delta_branch_fraction,delta_degree_std,delta_mean_graph_distance,delta_neighbors_1p5d,delta_neighbors_2d,delta_local_density_cv,delta_core_shell_density_difference
fractal_dp1.5_N0500_Df1.8_kf1.3_rep05,fractal_dp2_N0500_Df1.8_kf1.3_rep02,500,0.04143878934935208,-0.0020166015625000533,0.0020166015625000533,True,-0.0033396472243623077,0.0005821443204089283,1.9849331840404716e-06,-0.052286575615821174,0.06652025181357185,-0.013319589014779427,0.02400000000000002,0.023999999999999966,0.03068931455904267,3.390749498997998,0.07200000000000006,0.2839999999999998,-0.00705863937723078,0.02777841790543434
fractal_dp1.5_N0500_Df2.2_kf1.1_rep01,fractal_dp1.5_N0500_Df2.2_kf1.1_rep02,500,0.1152094503353372,0.008091796875000001,0.008091796875000001,True,-0.006409990915552388,0.0005587819675794137,1.0101327592160203e-06,-0.017661079387129464,0.07852441195665127,-0.03377592270850796,-0.045999999999999985,-0.045999999999999985,-0.05636248513662401,0.3306533066132289,0.02400000000000002,-0.26000000000000156,0.006013410276166864,-0.2722117794486216
fractal_dp1.5_N0500_Df2.2_kf1.1_rep04,fractal_dp2_N0500_Df2.2_kf1.1_rep01,500,0.9228614790086708,0.004335937499999998,0.004335937499999998,True,-0.0192127786473284,2.929190612421806e-05,-1.2909170523656144e-06,0.022020627894536737,-0.06932920493954475,0.0060879843097580155,0.014000000000000012,-0.0040000000000000036,0.036885906073726216,-14.478164328657314,0.1559999999999997,0.42400000000000126,0.006222400301945874,-0.35591929596858574
fractal_dp1.5_N0500_Df2.2_kf1.1_rep05,fractal_dp1_N0500_Df2.2_kf1.1_rep05,500,0.9333577480661326,-0.004121093749999971,0.004121093749999971,True,-0.015559596573573309,-0.0028640231067296185,-5.858816818360424e-07,0.04241985680952565,-0.15908679524917702,0.03818024424282315,-0.014000000000000012,-0.011999999999999955,-0.008432898678714218,12.381154308617234,0.043999999999999595,0.04399999999999871,-0.014833342806234884,-0.8802483513908559
fractal_dp1.5_N0500_Df2.6_kf0.8_rep01,fractal_dp1.5_N0500_Df2.6_kf0.8_rep02,500,0.020865902324284674,0.0010839843750000133,0.0010839843750000133,True,-0.0013342671117126947,-0.0006406096805151584,-6.469053559499116e-07,-0.013021148059550458,0.028698775844200164,0.018943392081710142,-0.008000000000000007,0.0040000000000000036,-0.024245677047684655,-6.966132264529058,-0.04400000000000048,0.04400000000000048,0.010329863302967202,0.4474546971864566
fractal_dp1.5_N0500_Df2.6_kf0.8_rep03,fractal_dp2_N0500_Df2.6_kf0.8_rep02,500,0.04492204789339192,-0.002620117187499993,0.002620117187499993,True,-0.0015703709303922508,-0.000984338429426579,3.9074005808714674e-08,-0.00623777704120565,0.02414597365169968,0.006176300938079138,0.010000000000000009,0.0,0.0270803853404169,-7.231727454909816,-0.0600000000000005,-0.17599999999999838,-0.01105547254547895,0.17706808377436545
fractal_dp1.5_N0500_Df2.6_kf0.8_rep04,fractal_dp2_N0500_Df2.6_kf0.8_rep03,500,0.00868537456494907,-0.001763671875000039,0.001763671875000039,True,-0.0018630012707525623,-1.452603514806583e-05,-5.724466840550946e-07,0.01459378143331902,0.03955088548182373,-0.05532187243411124,-0.01200000000000001,-0.0020000000000000018,-0.028115703976360873,-4.791270541082163,0.16800000000000015,0.1039999999999992,0.013423504471105907,2.028415042229634
fractal_dp1.5_N0500_Df2.6_kf0.8_rep05,fractal_dp1_N0500_Df2.6_kf0.8_rep05,500,0.08289403672123992,0.00020214843749999378,0.00020214843749999378,True,-0.004876927712180734,0.0007653916799039706,-8.685641883499073e-07,-0.013420446765902483,-0.006933661044297379,0.043791575077469835,0.008000000000000007,0.008000000000000007,0.004091057936471021,10.97838877755511,0.07200000000000006,0.05600000000000094,-0.003649211887728987,0.8915931388354359
fractal_dp1_N0050_Df1.8_kf1.3_rep01,fractal_dp2_N0050_Df1.8_kf1.3_rep03,50,0.5981285430584566,-0.00651367187499996,0.00651367187499996,False,0.015403447987931251,0.00035224346218909464,2.8257092559158536e-06,0.05603002783621547,-0.03712435123218605,-0.02800252675518604,0.019999999999999962,0.01999999999999999,0.026301516541772485,-0.9061224489795912,0.1599999999999997,0.3200000000000003,0.003400238663922972,2.2421842650103514
fractal_dp1_N0050_Df1.8_kf1.3_rep03,fractal_dp2_N0050_Df1.8_kf1.3_rep01,50,0.6644481598059103,0.005791015624999951,0.005791015624999951,False,-0.012092718480679832,0.0027334207468548977,-3.352060234718124e-06,-0.031980117928455454,-0.021133818344281297,0.05187277496589954,-0.08000000000000002,-0.020000000000000018,-0.15161487572706012,1.070204081632653,-0.31999999999999984,-0.8399999999999999,-0.003349844517831435,-2.5086956521739134
