n,Dbox_low,Dbox_high,porosity_low,porosity_high,cases,quality_ok
200,1.9,2.1,0.9,0.95,0,0
200,1.9,2.1,0.95,1.000001,0,0
200,2.1,2.3,0.65,0.7,0,0
200,2.1,2.3,0.7,0.75,0,0
200,2.1,2.3,0.75,0.8,0,0
200,2.1,2.3,0.8,0.85,15,10
200,2.1,2.3,0.85,0.9,0,0
200,2.1,2.3,0.9,0.95,0,0
200,2.1,2.3,0.95,1.000001,0,0
200,2.3,2.5,0.65,0.7,0,0
200,2.3,2.5,0.7,0.75,0,0
200,2.3,2.5,0.75,0.8,0,0
200,2.3,2.5,0.8,0.85,0,0
200,2.3,2.5,0.85,0.9,0,0
200,2.3,2.5,0.9,0.95,0,0
200,2.3,2.5,0.95,1.000001,0,0
200,2.5,2.7,0.65,0.7,0,0
200,2.5,2.7,0.7,0.75,0,0
200,2.5,2.7,0.75,0.8,0,0
200,2.5,2.7,0.8,0.85,0,0
200,2.5,2.7,0.85,0.9,0,0
200,2.5,2.7,0.9,0.95,0,0
200,2.5,2.7,0.95,1.000001,0,0
200,2.7,2.9,0.65,0.7,0,0
200,2.7,2.9,0.7,0.75,0,0
200,2.7,2.9,0.75,0.8,0,0
200,2.7,2.9,0.8,0.85,0,0
200,2.7,2.9,0.85,0.9,0,0
200,2.7,2.9,0.9,0.95,0,0
200,2.7,2.9,0.95,1.000001,0,0
200,2.9,3.1,0.65,0.7,0,0
200,2.9,3.1,0.7,0.75,0,0
200,2.9,3.1,0.75,0.8,0,0
200,2.9,3.1,0.8,0.85,0,0
200,2.9,3.1,0.85,0.9,0,0
200,2.9,3.1,0.9,0.95,0,0
200,2.9,3.1,0.95,1.000001,0,0
350,1.5,1.7,0.65,0.7,0,0
350,1.5,1.7,0.7,0.75,0,0
350,1.5,1.7,0.75,0.8,0,0
350,1.5,1.7,0.8,0.85,0,0
350,1.5,1.7,0.85,0.9,0,0
350,1.5,1.7,0.9,0.95,0,0
350,1.5,1.7,0.95,1.000001,0,0
350,1.7,1.9,0.65,0.7,0,0
350,1.7,1.9,0.7,0.75,0,0
350,1.7,1.9,0.75,0.8,0,0
350,1.7,1.9,0.8,0.85,0,0
350,1.7,1.9,0.85,0.9,0,0
350,1.7,1.9,0.9,0.95,0,0
350,1.7,1.9,0.95,1.000001,0,0
350,1.9,2.1,0.65,0.7,0,0
350,1.9,2.1,0.7,0.75,0,0
350,1.9,2.1,0.75,0.8,0,0
350,1.9,2.1,0.8,0.85,0,0
350,1.9,2.1,0.85,0.9,0,0
350,1.9,2.1,0.9,0.95,15,15
350,1.9,2.1,0.95,1.000001,0,0
350,2.1,2.3,0.65,0.7,0,0
350,2.1,2.3,0.7,0.75,0,0
350,2.1,2.3,0.75,0.8,0,0
350,2.1,2.3,0.8,0.85,0,0
350,2.1,2.3,0.85,0.9,15,15
350,2.1,2.3,0.9,0.95,0,0
350,2.1,2.3,0.95,1.000001,0,0
350,2.3,2.5,0.65,0.7,0,0
350,2.3,2.5,0.7,0.75,0,0
350,2.3,2.5,0.75,0.8,0,0
350,2.3,2.5,0.8,0.85,0,0
350,2.3,2.5,0.85,0.9,0,0
350,2.3,2.5,0.9,0.95,0,0
350,2.3,2.5,0.95,1.000001,0,0
350,2.5,2.7,0.65,0.7,0,0
350,2.5,2.7,0.7,0.75,0,0
350,2.5,2.7,0.75,0.8,0,0
350,2.5,2.7,0.8,0.85,0,0
350,2.5,2.7,0.85,0.9,0,0
350,2.5,2.7,0.9,0.95,0,0
350,2.5,2.7,0.95,1.000001,0,0
350,2.7,2.9,0.65,0.7,0,0
350,2.7,2.9,0.7,0.75,0,0
350,2.7,2.9,0.75,0.8,0,0
350,2.7,2.9,0.8,0.85,0,0
350,2.7,2.9,0.85,0.9,0,0
350,2.7,2.9,0.9,0.95,0,0
350,2.7,2.9,0.95,1.000001,0,0
350,2.9,3.1,0.65,0.7,0,0
350,2.9,3.1,0.7,0.75,0,0
350,2.9,3.1,0.75,0.8,0,0
350,2.9,3.1,0.8,0.85,0,0
350,2.9,3.1,0.85,0.9,0,0
350,2.9,3.1,0.9,0.95,0,0
350,2.9,3.1,0.95,1.000001,0,0
500,1.5,1.7,0.65,0.7,0,0
500,1.5,1.7,0.7,0.75,0,0
500,1.5,1.7,0.75,0.8,0,0
500,1.5,1.7,0.8,0.85,0,0
500,1.5,1.7,0.85,0.9,0,0
500,1.5,1.7,0.9,0.95,0,0
500,1.5,1.7,0.95,1.000001,0,0
500,1.7,1.9,0.65,0.7,0,0
500,1.7,1.9,0.7,0.75,0,0
500,1.7,1.9,0.75,0.8,0,0
500,1.7,1.9,0.8,0.85,0,0
500,1.7,1.9,0.85,0.9,0,0
500,1.7,1.9,0.9,0.95,0,0
500,1.7,1.9,0.95,1.000001,15,15
500,1.9,2.1,0.65,0.7,0,0
500,1.9,2.1,0.7,0.75,0,0
500,1.9,2.1,0.75,0.8,0,0
500,1.9,2.1,0.8,0.85,0,0
500,1.9,2.1,0.85,0.9,0,0
500,1.9,2.1,0.9,0.95,14,14
500,1.9,2.1,0.95,1.000001,0,0
500,2.1,2.3,0.65,0.7,0,0
500,2.1,2.3,0.7,0.75,0,0
500,2.1,2.3,0.75,0.8,0,0
500,2.1,2.3,0.8,0.85,11,11
500,2.1,2.3,0.85,0.9,4,4
500,2.1,2.3,0.9,0.95,1,1
500,2.1,2.3,0.95,1.000001,0,0
500,2.3,2.5,0.65,0.7,0,0
500,2.3,2.5,0.7,0.75,0,0
500,2.3,2.5,0.75,0.8,0,0
500,2.3,2.5,0.8,0.85,0,0
500,2.3,2.5,0.85,0.9,0,0
500,2.3,2.5,0.9,0.95,0,0
500,2.3,2.5,0.95,1.000001,0,0
500,2.5,2.7,0.65,0.7,0,0
500,2.5,2.7,0.7,0.75,0,0
500,2.5,2.7,0.75,0.8,0,0
500,2.5,2.7,0.8,0.85,0,0
500,2.5,2.7,0.85,0.9,0,0
500,2.5,2.7,0.9,0.95,0,0
500,2.5,2.7,0.95,1.000001,0,0
500,2.7,2.9,0.65,0.7,0,0
500,2.7,2.9,0.7,0.75,0,0
500,2.7,2.9,0.75,0.8,0,0
500,2.7,2.9,0.8,0.85,0,0
500,2.7,2.9,0.85,0.9,0,0
500,2.7,2.9,0.9,0.95,0,0
500,2.7,2.9,0.95,1.000001,0,0
500,2.9,3.1,0.65,0.7,0,0
500,2.9,3.1,0.7,0.75,0,0
500,2.9,3.1,0.75,0.8,0,0
500,2.9,3.1,0.8,0.85,0,0
500,2.9,3.1,0.85,0.9,0,0
500,2.9,3.1,0.9,0.95,0,0
500,2.9,3.1,0.95,1.000001,0,0
750,1.5,1.7,0.65,0.7,0,0
750,1.5,1.7,0.7,0.75,0,0
750,1.5,1.7,0.75,0.8,0,0
750,1.5,1.7,0.8,0.85,0,0
750,1.5,1.7,0.85,0.9,0,0
750,1.5,1.7,0.9,0.95,0,0
750,1.5,1.7,0.95,1.000001,0,0
750,1.7,1.9,0.65,0.7,0,0
750,1.7,1.9,0.7,0.75,0,0
750,1.7,1.9,0.75,0.8,0,0
750,1.7,1.9,0.8,0.85,0,0
750,1.7,1.9,0.85,0.9,0,0
750,1.7,1.9,0.9,0.95,0,0
750,1.7,1.9,0.95,1.000001,15,15
750,1.9,2.1,0.65,0.7,0,0
750,1.9,2.1,0.7,0.75,0,0
750,1.9,2.1,0.75,0.8,0,0
750,1.9,2.1,0.8,0.85,0,0
750,1.9,2.1,0.85,0.9,0,0
750,1.9,2.1,0.9,0.95,12,12
750,1.9,2.1,0.95,1.000001,0,0
750,2.1,2.3,0.65,0.7,0,0
750,2.1,2.3,0.7,0.75,0,0
750,2.1,2.3,0.75,0.8,0,0
750,2.1,2.3,0.8,0.85,0,0
750,2.1,2.3,0.85,0.9,15,15
750,2.1,2.3,0.9,0.95,3,3
750,2.1,2.3,0.95,1.000001,0,0
750,2.3,2.5,0.65,0.7,0,0
750,2.3,2.5,0.7,0.75,0,0
750,2.3,2.5,0.75,0.8,0,0
750,2.3,2.5,0.8,0.85,0,0
750,2.3,2.5,0.85,0.9,0,0
750,2.3,2.5,0.9,0.95,0,0
750,2.3,2.5,0.95,1.000001,0,0
750,2.5,2.7,0.65,0.7,0,0
750,2.5,2.7,0.7,0.75,0,0
750,2.5,2.7,0.75,0.8,0,0
750,2.5,2.7,0.8,0.85,0,0
750,2.5,2.7,0.85,0.9,0,0
750,2.5,2.7,0.9,0.95,0,0
750,2.5,2.7,0.95,1.000001,0,0
750,2.7,2.9,0.65,0.7,0,0
750,2.7,2.9,0.7,0.75,0,0
750,2.7,2.9,0.75,0.8,0,0
750,2.7,2.9,0.8,0.85,0,0
750,2.7,2.9,0.85,0.9,0,0
750,2.7,2.9,0.9,0.95,0,0
750,2.7,2.9,0.95,1.000001,0,0
750,2.9,3.1,0.65,0.7,0,0
750,2.9,3.1,0.7,0.75,0,0
750,2.9,3.1,0.75,0.8,0,0
750,2.9,3.1,0.8,0.85,0,0
750,2.9,3.1,0.85,0.9,0,0
750,2.9,3.1,0.9,0.95,0,0
750,2.9,3.1,0.95,1.000001,0,0
1000,1.5,1.7,0.65,0.7,0,0
1000,1.5,1.7,0.7,0.75,0,0
1000,1.5,1.7,0.75,0.8,0,0
1000,1.5,1.7,0.8,0.85,0,0
1000,1.5,1.7,0.85,0.9,0,0
1000,1.5,1.7,0.9,0.95,0,0
1000,1.5,1.7,0.95,1.000001,0,0
1000,1.7,1.9,0.65,0.7,0,0
1000,1.7,1.9,0.7,0.75,0,0
1000,1.7,1.9,0.75,0.8,0,0
1000,1.7,1.9,0.8,0.85,0,0
1000,1.7,1.9,0.85,0.9,0,0
1000,1.7,1.9,0.9,0.95,0,0
1000,1.7,1.9,0.95,1.000001,15,15
1000,1.9,2.1,0.65,0.7,0,0
1000,1.9,2.1,0.7,0.75,0,0
1000,1.9,2.1,0.75,0.8,0,0
1000,1.9,2.1,0.8,0.85,0,0
1000,1.9,2.1,0.85,0.9,0,0
1000,1.9,2.1,0.9,0.95,12,12
1000,1.9,2.1,0.95,1.000001,0,0
1000,2.1,2.3,0.65,0.7,0,0
1000,2.1,2.3,0.7,0.75,0,0
1000,2.1,2.3,0.75,0.8,0,0
1000,2.1,2.3,0.8,0.85,0,0
1000,2.1,2.3,0.85,0.9,10,10
1000,2.1,2.3,0.9,0.95,3,3
1000,2.1,2.3,0.95,1.000001,0,0
1000,2.3,2.5,0.65,0.7,0,0
1000,2.3,2.5,0.7,0.75,0,0
1000,2.3,2.5,0.75,0.8,0,0
1000,2.3,2.5,0.8,0.85,0,0
1000,2.3,2.5,0.85,0.9,5,5
1000,2.3,2.5,0.9,0.95,0,0
1000,2.3,2.5,0.95,1.000001,0,0
1000,2.5,2.7,0.65,0.7,0,0
1000,2.5,2.7,0.7,0.75,0,0
1000,2.5,2.7,0.75,0.8,0,0
1000,2.5,2.7,0.8,0.85,0,0
1000,2.5,2.7,0.85,0.9,0,0
1000,2.5,2.7,0.9,0.95,0,0
1000,2.5,2.7,0.95,1.000001,0,0
1000,2.7,2.9,0.65,0.7,0,0
1000,2.7,2.9,0.7,0.75,0,0
1000,2.7,2.9,0.75,0.8,0,0
1000,2.7,2.9,0.8,0.85,0,0
1000,2.7,2.9,0.85,0.9,0,0
1000,2.7,2.9,0.9,0.95,0,0
1000,2.7,2.9,0.95,1.000001,0,0
1000,2.9,3.1,0.65,0.7,0,0
1000,2.9,3.1,0.7,0.75,0,0
1000,2.9,3.1,0.75,0.8,0,0
1000,2.9,3.1,0.8,0.85,0,0
1000,2.9,3.1,0.85,0.9,0,0
1000,2.9,3.1,0.9,0.95,0,0
1000,2.9,3.1,0.95,1.000001,0,0
